Paper_Exp_ID,Behavior,Variable,Human Answer,GPT Answer,GPT Cost,Model
A_55,change in address,behavior_priority,secondary,none,0.0557699999999999,gpt-4
A_55,change in address,behavior_focal,not,Vaccination uptake/focal,0.04512,gpt-4
A_55,change in address,behavior_focal_estimate,Exact,Estimate,0.04503,gpt-4
A_55,change in address,behavior_metric,categorical,"The text does not provide information on the variable ""change in address.""",0.04767,gpt-4
A_55,change in address,behavior_selfreport,N,N,0.04305,gpt-4
A_55,change in address,financial_reqt,No,No,0.03591,gpt-4
A_55,change in address,travel_reqt,No,No,0.02766,gpt-4
A_55,change in address,planning_reqt,No,No,0.04116,gpt-4
A_55,change in address,location_reqt,No,No,0.02904,gpt-4
A_55,change in address,timing_reqt,No,No,0.0622799999999999,gpt-4
A_55,change in address,prosociality,No,Unclear,0.03978,gpt-4
A_55,change in address,delay,Unclear,Yes,0.03933,gpt-4
A_55,change in address,authority,No,Unclear,0.0234599999999999,gpt-4
A_55,lodgment,behavior_priority,primary,none,0.05574,gpt-4
A_55,lodgment,behavior_focal,focal,Behavior 1/focal,0.04503,gpt-4
A_55,lodgment,behavior_focal_estimate,Exact,Exact,0.0449399999999999,gpt-4
A_55,lodgment,behavior_metric,categorical,The text does not provide information on a behavioral outcome named lodgment.,0.04764,gpt-4
A_55,lodgment,behavior_selfreport,N,N,0.0430199999999999,gpt-4
A_55,lodgment,financial_reqt,Yes,No,0.0358799999999999,gpt-4
A_55,lodgment,travel_reqt,No,No,0.02763,gpt-4
A_55,lodgment,planning_reqt,Yes,No,0.0422399999999999,gpt-4
A_55,lodgment,location_reqt,No,Unclear,0.0290699999999999,gpt-4
A_55,lodgment,timing_reqt,Yes,Yes,0.0622499999999999,gpt-4
A_55,lodgment,prosociality,Yes,Unclear,0.03975,gpt-4
A_55,lodgment,delay,Unclear,Unclear,0.03936,gpt-4
A_55,lodgment,authority,Yes,Unclear,0.02343,gpt-4
A_55,myGov registration,behavior_priority,secondary,none,0.0557699999999999,gpt-4
A_55,myGov registration,behavior_focal,not,Vaccination uptake/focal,0.04512,gpt-4
A_55,myGov registration,behavior_focal_estimate,Exact,Estimate,0.04503,gpt-4
A_55,myGov registration,behavior_metric,categorical,categorical,0.04692,gpt-4
A_55,myGov registration,behavior_selfreport,N,N,0.04305,gpt-4
A_55,myGov registration,financial_reqt,No,Unclear,0.03597,gpt-4
A_55,myGov registration,travel_reqt,No,No,0.02766,gpt-4
A_55,myGov registration,planning_reqt,Unclear,No,0.0422699999999999,gpt-4
A_55,myGov registration,location_reqt,No,Unclear,0.0290999999999999,gpt-4
A_55,myGov registration,timing_reqt,No,No,0.0622799999999999,gpt-4
A_55,myGov registration,prosociality,No,Unclear,0.04671,gpt-4
A_55,myGov registration,delay,Unclear,Unclear,0.03939,gpt-4
A_55,myGov registration,authority,No,Unclear,0.0234599999999999,gpt-4
A_55,number of days to lodgement,behavior_priority,secondary,none,0.05586,gpt-4
A_55,number of days to lodgement,behavior_focal,not,Vaccination uptake/focal,0.04521,gpt-4
A_55,number of days to lodgement,behavior_focal_estimate,Exact,Estimate,0.04512,gpt-4
A_55,number of days to lodgement,behavior_metric,continuous,continuous,0.0469499999999999,gpt-4
A_55,number of days to lodgement,behavior_selfreport,N,N,0.0431399999999999,gpt-4
A_55,number of days to lodgement,financial_reqt,Yes,Unclear,0.03606,gpt-4
A_55,number of days to lodgement,travel_reqt,No,Unclear,0.0278099999999999,gpt-4
A_55,number of days to lodgement,planning_reqt,Yes,Unclear,0.04242,gpt-4
A_55,number of days to lodgement,location_reqt,No,Unclear,0.0291899999999999,gpt-4
A_55,number of days to lodgement,timing_reqt,Yes,Yes,0.0623699999999999,gpt-4
A_55,number of days to lodgement,prosociality,Yes,Unclear,0.03987,gpt-4
A_55,number of days to lodgement,delay,Unclear,Unclear,0.03948,gpt-4
A_55,number of days to lodgement,authority,Yes,Unclear,0.0235499999999999,gpt-4
A_55,number of inbound calls,behavior_priority,secondary,none,0.0557999999999999,gpt-4
A_55,number of inbound calls,behavior_focal,not,Behavior 1/focal,0.04509,gpt-4
A_55,number of inbound calls,behavior_focal_estimate,Exact,Estimate,0.04506,gpt-4
A_55,number of inbound calls,behavior_metric,continuous,continuous,0.0468899999999999,gpt-4
A_55,number of inbound calls,behavior_selfreport,N,N,0.0430799999999999,gpt-4
A_55,number of inbound calls,financial_reqt,No,Unclear,0.036,gpt-4
A_55,number of inbound calls,travel_reqt,No,No,0.02769,gpt-4
A_55,number of inbound calls,planning_reqt,No,Unclear,0.0423599999999999,gpt-4
A_55,number of inbound calls,location_reqt,No,No,0.02907,gpt-4
A_55,number of inbound calls,timing_reqt,No,No,0.06231,gpt-4
A_55,number of inbound calls,prosociality,No,Unclear,0.03981,gpt-4
A_55,number of inbound calls,delay,Unclear,Unclear,0.03942,gpt-4
A_55,number of inbound calls,authority,No,Unclear,0.0234899999999999,gpt-4
A_55,use of MyTax,behavior_priority,secondary,none,0.0557999999999999,gpt-4
A_55,use of MyTax,behavior_focal,not,Vaccination uptake/focal,0.04515,gpt-4
A_55,use of MyTax,behavior_focal_estimate,Exact,Estimate,0.04506,gpt-4
A_55,use of MyTax,behavior_metric,categorical,continuous,0.0468899999999999,gpt-4
A_55,use of MyTax,behavior_selfreport,N,N,0.0430799999999999,gpt-4
A_55,use of MyTax,financial_reqt,No,Unclear,0.036,gpt-4
A_55,use of MyTax,travel_reqt,No,No,0.02769,gpt-4
A_55,use of MyTax,planning_reqt,Yes,Unclear,0.0423599999999999,gpt-4
A_55,use of MyTax,location_reqt,No,No,0.02907,gpt-4
A_55,use of MyTax,timing_reqt,No,Yes,0.06231,gpt-4
A_55,use of MyTax,prosociality,No,Unclear,0.04674,gpt-4
A_55,use of MyTax,delay,Unclear,Unclear,0.03942,gpt-4
A_55,use of MyTax,authority,No,Unclear,0.0234899999999999,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,behavior_priority,secondary,none,0.05622,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,behavior_focal,not,Behavior 1/focal,0.0455099999999999,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,behavior_focal_estimate,Estimate,Estimate,0.04548,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,behavior_metric,continuous,continuous,0.04731,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,behavior_selfreport,N,N,0.0435,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,financial_reqt,Yes,Unclear,0.03018,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,travel_reqt,No,No,0.02136,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,planning_reqt,Yes,Unclear,0.03666,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,location_reqt,No,No,0.02949,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,timing_reqt,No,No,0.06273,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,prosociality,No,Unclear,0.05571,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,delay,Yes,Yes,0.0486,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>13 weeks,authority,No,Unclear,0.0239099999999999,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,behavior_priority,secondary,none,0.05622,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,behavior_focal,not,Behavior 1/focal,0.0455099999999999,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,behavior_focal_estimate,Estimate,Estimate,0.04548,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,behavior_metric,continuous,continuous,0.04731,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,behavior_selfreport,N,No,0.0435,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,financial_reqt,Yes,Unclear,0.03018,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,travel_reqt,No,No,0.02136,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,planning_reqt,Yes,Unclear,0.03666,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,location_reqt,No,No,0.02949,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,timing_reqt,No,No,0.06273,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,prosociality,No,Unclear,0.05571,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,delay,Yes,Yes,0.0486,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>38 weeks,authority,No,Unclear,0.0239099999999999,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,behavior_priority,secondary,none,0.05622,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,behavior_focal,not,Behavior 1/focal,0.0455099999999999,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,behavior_focal_estimate,Estimate,Estimate,0.04548,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,behavior_metric,continuous,continuous,0.04731,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,behavior_selfreport,N,N,0.0435,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,financial_reqt,Yes,Unclear,0.03018,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,travel_reqt,No,No,0.02136,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,planning_reqt,Yes,Unclear,0.03666,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,location_reqt,No,No,0.02949,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,timing_reqt,No,No,0.06273,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,prosociality,No,Unclear,0.05571,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,delay,Yes,Yes,0.0486,gpt-4
A_62,Amount automatically saved at t<U+202F>=<U+202F>4 weeks,authority,No,Unclear,0.0239099999999999,gpt-4
A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,behavior_priority,secondary,none,0.05619,gpt-4
A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,behavior_focal,not,Behavior 1/focal,0.04548,gpt-4
A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,behavior_focal_estimate,Estimate,Estimate,0.04545,gpt-4
A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,behavior_metric,categorical,"The text does not provide information on the nature of the behavioral variable ""Automatic transaction at t<U+202F>=<U+202F>13 weeks.""",0.04917,gpt-4
A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,behavior_selfreport,N,N,0.0434699999999999,gpt-4
A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,financial_reqt,Yes,Unclear,0.0301499999999999,gpt-4
A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,travel_reqt,No,No,0.02133,gpt-4
A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,planning_reqt,Yes,Unclear,0.03663,gpt-4
A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,location_reqt,No,Unclear,0.0295199999999999,gpt-4
A_62,Automatic transaction at t<U+202F>=<U+202F>13 weeks,timing_reqt,No,Unclear,0.06276,gpt-4
